ID,Name,Platform_id,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Total_Sales
8510,Godzilla Unleashed,25,2007,Fighting,Atari,0.15,0,0,0.01,0.16
8511,Kamaitachi no Yoru × 3,16,2006,Adventure,Sega,0,0,0.16,0,0.16
8512,Tom and Jerry: Infurnal Escape,6,2003,Action,Ubisoft,0.12,0.04,0,0,0.16
8513,The Legend of Heroes VII: The Trail of Zero,19,2010,Role-Playing,Falcom Corporation,0,0,0.16,0,0.16
8514,Warriors Orochi 3,28,2011,Action,Ubisoft Annecy,0.09,0.03,0.03,0.01,0.16
8515,King's Field,15,1995,Role-Playing,Sony Computer Entertainment,0.09,0.06,0,0.01,0.16
8516,Hannah Montana: Rock Out the Show,19,2009,Misc,Disney Interactive Studios,0.13,0.01,0,0.02,0.16
8517,Let's Ride: Sunshine Stables,6,2005,Sports,DTP Entertainment,0.12,0.04,0,0,0.16
8518,World Stadium 4,15,2000,Sports,Namco Bandai Games,0,0,0.15,0.01,0.16
8519,Midway Arcade Treasures 2,7,2004,Misc,Midway Games,0.13,0.03,0,0,0.16
8520,Hot Wheels World Race,7,2003,Racing,THQ,0.13,0.03,0,0,0.16
8521,San Goku Shi Taisen DS,4,2007,Strategy,Sega,0,0,0.16,0,0.16
8522,Kawa no Nushi Tsuri,15,1998,Sports,Victor Interactive,0,0,0.15,0.01,0.16
8523,N2O: Nitrous Oxide,15,1998,Racing,Gremlin Interactive Ltd,0.09,0.06,0,0.01,0.16
8524,Magic: The Gathering - Battlegrounds,29,2003,Strategy,Atari,0.12,0.03,0,0.01,0.16
8525,Heroes over Europe,17,2009,Simulation,Ubisoft,0.12,0.02,0,0.02,0.16
8526,Dancing With The Stars,16,2007,Misc,Activision,0.08,0.06,0,0.02,0.16
8527,Major League Baseball 2K12,25,2012,Sports,Take-Two Interactive,0.15,0,0,0.01,0.16
8528,Pro Evolution Soccer 2015,28,2014,Sports,Konami Digital Entertainment,0.05,0.1,0,0.01,0.16
8529,Bladestorm: Nightmare,18,2015,Action,Tecmo Koei,0.07,0.04,0.03,0.02,0.16
8530,Otogirisou,23,1992,Adventure,ChunSoft,0,0,0.16,0,0.16
8531,SD Gundam G Generation 3D,2,2011,Role-Playing,Namco Bandai Games,0,0,0.16,0,0.16
8532,Crash Tag Team Racing,7,2005,Racing,Vivendi Games,0.12,0.03,0,0,0.16
8533,Grease Dance,28,2011,Misc,505 Games,0.11,0.03,0,0.01,0.16
8534,Ready 2 Rumble Revolution,25,2009,Sports,Atari,0.15,0,0,0.01,0.16
8535,My Baby 3 & Friends,4,2010,Simulation,Majesco Entertainment,0.13,0.02,0,0.01,0.16
8536,NASCAR '14,28,2014,Racing,Deep Silver,0.15,0,0,0.01,0.16
8537,TimeSplitters: Future Perfect,29,2005,Shooter,Electronic Arts,0.12,0.03,0,0.01,0.16
8538,Midway Arcade Treasures 3,16,2005,Misc,Midway Games,0.08,0.06,0,0.02,0.16
8539,Dr. Muto,16,2002,Platform,Midway Games,0.08,0.06,0,0.02,0.16
8540,Beowulf: The Game,17,2007,Action,Ubisoft,0.14,0.01,0,0.01,0.16
8541,Puzzle Quest: Galactrix,4,2009,Puzzle,D3Publisher,0.15,0,0,0.01,0.16
8542,DS Rakubiki Jiten,4,2005,Misc,Nintendo,0,0,0.16,0,0.16
8543,SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,16,2005,Adventure,Activision,0.08,0.06,0,0.02,0.16
8544,Fatal Frame II: Crimson Butterfly,16,2003,Action,Ubisoft,0.08,0.06,0,0.02,0.16
8545,Angry Birds Trilogy,17,2012,Action,Activision,0.12,0.02,0,0.02,0.16
8546,Dewy's Adventure,25,2007,Platform,Konami Digital Entertainment,0.14,0,0.01,0.01,0.16
8547,Shadow Man: 2econd Coming,16,2002,Adventure,Acclaim Entertainment,0.08,0.06,0,0.02,0.16
8548,Yu-Gi-Oh! 5D's Tag Force 6,19,2011,Strategy,Konami Digital Entertainment,0,0,0.16,0,0.16
8549,NPPL: Championship Paintball 2009,17,2008,Shooter,Activision Value,0.15,0,0,0.01,0.16
8550,Dynasty Warriors 4,29,2003,Action,Tecmo Koei,0.12,0.03,0,0.01,0.16
8551,Wakeboarding Unleashed Featuring Shaun Murray,16,2003,Sports,Activision,0.08,0.06,0,0.02,0.16
8552,The Incredibles: Rise of the Underminer,7,2005,Action,THQ,0.12,0.03,0,0,0.16
8553,Jikkyou Powerful Pro Yakyuu 3 '97 Haru,23,1997,Sports,Konami Digital Entertainment,0,0,0.16,0,0.16
8554,Alone in the Dark: The New Nightmare,15,,Adventure,Infogrames,0.09,0.06,0,0.01,0.16
8555,The BIGS,17,2007,Sports,Take-Two Interactive,0.15,0,0,0.01,0.16
8556,Flushed Away,7,2006,Platform,D3Publisher,0.12,0.03,0,0,0.16
8557,Eragon,4,2006,Action,Vivendi Games,0.13,0.02,0,0.01,0.16
8558,Scarface: Money. Power. Respect.,19,2006,Strategy,Vivendi Games,0.15,0,0,0.01,0.16
8559,Summon Night EX-Thesis: Yoake no Tsubasa,16,2005,Role-Playing,Banpresto,0,0,0.16,0,0.16
8560,Pro Yaky? Spirits 3,16,2006,Sports,Konami Digital Entertainment,0,0,0.16,0,0.16
8561,Silent Scope 3,16,2002,Shooter,Konami Digital Entertainment,0.08,0.06,0,0.02,0.16
8562,World Series of Poker: Tournament of Champions 2007 Edition,28,2006,Misc,Activision,0.15,0,0,0.01,0.16
8563,NASCAR Heat 2002,6,2002,Racing,Infogrames,0.12,0.04,0,0,0.16
8564,Namco Classic Fighter Collection,16,2008,Fighting,Namco Bandai Games,0.08,0.06,0,0.02,0.16
8565,International Superstar Soccer Deluxe,23,1995,Sports,Konami Digital Entertainment,0,0,0.16,0,0.16
8566,TNA iMPACT!,25,2008,Fighting,Midway Games,0.14,0.01,0,0.01,0.16
8567,Intellivision Lives!,16,2003,Misc,Play It,0.08,0.06,0,0.02,0.16
8568,Field Commander,19,2006,Strategy,Sony Online Entertainment,0.14,0,0,0.01,0.16
8569,Robots,7,2005,Action,Vivendi Games,0.12,0.03,0,0,0.16
8570,Little League World Series Baseball 2009,25,2009,Sports,Activision,0.15,0,0,0.01,0.16
8571,The King of Fighters XII,17,2009,Fighting,Ignition Entertainment,0.11,0.01,0.03,0.01,0.16
8572,Doctor Who: Evacuation Earth,4,2010,Adventure,Asylum Entertainment,0,0.14,0,0.02,0.16
8573,Murdered: Soul Suspect,30,2014,Action,Square Enix,0.08,0.07,0,0.01,0.16
8574,Ener-G: Dance Squad,4,2008,Sports,Ubisoft,0.15,0,0,0.01,0.16
8575,Our House,4,2009,Strategy,Majesco Entertainment,0.15,0,0,0.01,0.16
8576,SimEarth: The Living Planet,23,1991,Simulation,Imagineer,0,0,0.16,0,0.16
8577,Major League Baseball 2K11,25,2011,Sports,Take-Two Interactive,0.15,0,0,0.01,0.16
8578,Sengoku Basara: Chronicle Heroes,19,2011,Action,Capcom,0,0,0.16,0,0.16
8579,NBA 2K12,13,2011,Sports,Take-Two Interactive,0.09,0.05,0,0.02,0.16
8580,The Wild Thornberrys: Chimp Chase,6,2001,Action,THQ,0.11,0.04,0,0,0.16
8581,Power Stakes,15,1997,Sports,Aques,0,0,0.15,0.01,0.16
8582,Fighters Destiny,10,1998,Fighting,Ocean,0.13,0.03,0,0,0.16
8583,Asteroids Hyper 64,10,1999,Shooter,Crave Entertainment,0.13,0.03,0,0,0.16
8584,The Powerpuff Girls: Chemical X-Traction,10,2001,Action,BAM! Entertainment,0.13,0.03,0,0,0.16
8585,Jikkyou Powerful Pro Yakyuu Basic-han 2001,10,2001,Sports,Konami Digital Entertainment,0,0,0.12,0.04,0.16
8586,Tom and Jerry in Fists of Furry,10,2000,Fighting,Ubisoft,0.13,0.03,0,0,0.16
8587,Hydro Thunder,10,2000,Racing,Midway Games,0.13,0.03,0,0,0.16
8588,Space Invaders,10,1999,Shooter,Activision,0.13,0.03,0,0,0.16
8589,Starcraft 64,10,2000,Strategy,Nintendo,0.13,0.03,0,0,0.16
8590,Destruction Derby 64,10,1999,Racing,THQ,0.13,0.03,0,0,0.16
8591,Buck Bumble,10,1998,Action,Ubisoft,0.13,0.03,0,0,0.16
8592,California Speed,10,1999,Misc,Midway Games,0.13,0.03,0,0,0.16
8593,Wonder Project J2: Koruro no Mori no Josette,10,1996,Simulation,Enix Corporation,0,0,0.12,0.04,0.16
8594,Culdcept SAGA,28,2006,Role-Playing,Namco Bandai Games,0.12,0,0.03,0.01,0.16
8595,Take A Break's: Puzzle Master,4,2009,Puzzle,Ubisoft,0,0.15,0,0.01,0.16
8596,Dragon Ball: Origins 2,4,2010,Action,Namco Bandai Games,0.05,0.02,0.08,0.01,0.16
8597,Minna no DS Seminar: Kanpeki Kanji Ryoku,4,2006,Misc,TDK Core,0,0,0.16,0,0.16
8598,Innocent Life: A Futuristic Harvest Moon,19,2006,Simulation,Rising Star Games,0.08,0.03,0.03,0.02,0.16
8599,The Crew,13,2014,Racing,Ubisoft,0,0.15,0,0.01,0.16
8600,Macross Ace Frontier,19,2008,Simulation,Namco Bandai Games,0,0,0.16,0,0.16
8601,Black & Bruised,16,2003,Fighting,Vivendi Games,0.08,0.06,0,0.02,0.16
8602,Sherlock Holmes vs. Jack the Ripper,28,2009,Adventure,Focus Home Interactive,0.11,0.04,0,0.01,0.16
8603,.hack//G.U. Vol.2//Reminisce (jp sales),16,2006,Role-Playing,Namco Bandai Games,0,0,0.16,0,0.16
8604,Rapala Pro Fishing,29,2004,Sports,Zoo Digital Publishing,0.12,0.03,0,0.01,0.16
8605,TimeShift,17,2007,Shooter,Vivendi Games,0.14,0.01,0,0.01,0.16
8606,Blitz: The League,28,2006,Sports,Midway Games,0.15,0,0,0.01,0.16
8607,Scripps Spelling Bee,4,2010,Simulation,THQ,0.15,0,0,0.01,0.16
8608,MotionSports: Adrenaline,17,2011,Sports,Ubisoft,0.08,0.06,0,0.03,0.16
8609,Ener-G Horse Riders,4,2008,Sports,Ubisoft,0.14,0.01,0,0.01,0.16
8610,Time Hollow,4,2008,Adventure,Konami Digital Entertainment,0.03,0.01,0.11,0,0.16
8611,Farming Simulator 2013,17,2013,Simulation,Focus Home Interactive,0,0.1,0.02,0.04,0.16
8612,Rudolph the Red-Nosed Reindeer,25,2010,Action,Crave Entertainment,0.15,0,0,0.01,0.16
8613,Shinobido 2: Tales of the Ninja,20,2011,Action,Sony Computer Entertainment,0.06,0.05,0.02,0.03,0.16
8614,SpongeBob's Truth or Square,4,2009,Action,THQ,0.08,0.07,0,0.01,0.16
8615,Ghost in the Shell: Stand Alone Complex,16,2004,Adventure,Namco Bandai Games,0.08,0.06,0,0.02,0.16
8616,Rondo of Swords (US sales),4,2007,Role-Playing,Success,0.16,0,0,0,0.16
8617,Bulletstorm,13,2011,Shooter,Electronic Arts,0.07,0.07,0,0.02,0.16
8618,Battle Soccer: Field no Hasha,23,1992,Sports,Banpresto,0,0,0.16,0,0.16
8619,Shaun White Skateboarding,28,2010,Sports,Ubisoft,0.1,0.05,0,0.01,0.16
8620,MLB 11: The Show,19,2011,Sports,Sony Computer Entertainment,0.15,0,0,0.01,0.16
8621,Vegas Party,25,,Misc,Unknown,0.15,0,0,0.01,0.16
8622,Amped 3,28,2005,Sports,Take-Two Interactive,0.13,0.02,0,0.01,0.16
8623,Family Party: 30 Great Games Outdoor Fun,25,2009,Misc,D3Publisher,0.14,0.01,0,0.01,0.16
8624,FlatOut 2,16,2006,Racing,Empire Interactive,0.08,0.06,0,0.02,0.16
8625,Naruto: Ultimate Ninja Heroes 2 - The Phantom Fortress,19,2006,Fighting,Atari,0.14,0,0,0.01,0.16
8626,FIFA Soccer 96,15,1995,Sports,Electronic Arts,0.09,0.06,0,0.01,0.16
8627,Burger Island,4,2008,Action,Destineer,0.15,0,0,0.01,0.16
8628,Dynasty Warriors 8,28,2013,Action,Tecmo Koei,0.09,0.05,0,0.01,0.16
8629,NCAA Final Four 2001,15,2000,Sports,Sony Computer Entertainment,0.09,0.06,0,0.01,0.16
8630,Tak and the Guardians of Gross,25,2008,Action,THQ,0.15,0,0,0.01,0.16
8631,Just Dance: Disney Party,28,2012,Misc,Ubisoft,0.13,0.02,0,0.01,0.16
8632,LEGO The Lord of the Rings,4,2012,Action,Warner Bros. Interactive Entertainment,0,0.14,0,0.02,0.16
8633,Dengeki Bunko Fighting Climax,17,2014,Fighting,Sega,0.05,0,0.09,0.01,0.16
8634,J-League Jikkyou Winning Eleven 2000,15,2000,Sports,Konami Digital Entertainment,0,0,0.15,0.01,0.16
8635,Eve: The Lost One,21,1998,Adventure,Imagineer,0,0,0.16,0,0.16
8636,Chessmaster: The Art of Learning,4,2007,Misc,Ubisoft,0.12,0.03,0,0.01,0.16
8637,Yu-Gi-Oh! 5D's: Duel Transer,25,2010,Strategy,Konami Digital Entertainment,0.11,0.02,0.02,0.01,0.16
8638,LEGO Legends of Chima: Laval's Journey,20,2013,Adventure,Warner Bros. Interactive Entertainment,0.02,0.09,0,0.04,0.16
8639,Konami Krazy Racers,6,2001,Racing,Konami Digital Entertainment,0.09,0.03,0.04,0,0.16
8640,Saturday Night Slam Masters,23,1994,Fighting,Capcom,0,0,0.16,0,0.16
8641,Blitz: The League II,17,2008,Sports,Midway Games,0.11,0.03,0,0.02,0.16
8642,F-Zero: GP Legend,6,2003,Racing,Nintendo,0.11,0.04,0,0,0.16
8643,Racing Lagoon,15,1999,Racing,Square,0,0,0.15,0.01,0.16
8644,Victorious: Hollywood Arts Debut,4,2011,Misc,D3Publisher,0.14,0.01,0,0.01,0.16
8645,Mr. Driller 2,6,2001,Puzzle,Namco Bandai Games,0,0,0.15,0,0.16
8646,Just Sing!,4,2009,Misc,DTP Entertainment,0.14,0.01,0,0.01,0.16
8647,Darksiders II,26,2012,Action,THQ,0.07,0.07,0,0.01,0.16
8648,Dragon's Lair Trilogy,25,2010,Adventure,Destineer,0.15,0,0,0.01,0.16
8649,Trivial Pursuit: Bet You Know It,25,2011,Misc,Electronic Arts,0.1,0.04,0,0.01,0.16
8650,Imagine: Ice Champions,4,2007,Sports,Spike,0.15,0,0,0.01,0.16
8651,J-League Pro Soccer Club o Tsukurou! 6: Pride of J,19,2009,Sports,Sega,0,0,0.16,0,0.16
8652,Nicktoons: MLB,25,2011,Sports,Take-Two Interactive,0.15,0,0,0.01,0.16
8653,Sniper: Ghost Warrior,13,2010,Shooter,City Interactive,0,0.13,0,0.03,0.16
8654,Left Brain Right Brain: Use Both Hands Train Both Sides,4,2007,Misc,505 Games,0.15,0,0,0.01,0.16
8655,Rio,17,2011,Misc,THQ,0.04,0.09,0,0.03,0.16
8656,Power Rangers Double Pack,6,2005,Action,THQ,0.11,0.04,0,0,0.16
8657,Mugen Souls,17,2012,Role-Playing,Nippon Ichi Software,0.04,0.03,0.08,0.01,0.16
8658,Yakuza Kiwami,18,2016,Adventure,Sega,0,0,0.16,0,0.16
8659,Pachi-Slot Kanzen Kouryaku 3: Universal Koushiki Gaido Volume 3,15,1998,Misc,Syscom,0,0,0.15,0.01,0.16
8660,"BCFX: The Black College Football Xperience, The Doug Williams Edition",28,2009,Sports,Aspyr,0.15,0,0,0.01,0.16
8661,FIFA Soccer 97,15,1996,Sports,Electronic Arts,0.09,0.06,0,0.01,0.16
8662,Saw II: Flesh & Blood,28,2010,Action,Konami Digital Entertainment,0.1,0.04,0,0.01,0.16
8663,Psychic Force,15,1996,Fighting,Acclaim Entertainment,0.01,0.01,0.13,0.01,0.16
8664,Trigger Man,16,2004,Shooter,Play It,0.08,0.06,0,0.02,0.16
8665,Bomberman Land Touch! 2,4,2007,Puzzle,Rising Star Games,0.13,0,0.01,0.01,0.16
8666,Michael Jackson: The Experience,19,2010,Misc,Ubisoft,0.11,0.03,0,0.02,0.16
8667,The Godfather: Blackhand Edition,25,2007,Adventure,Electronic Arts,0.14,0,0,0.01,0.16
8668,StarBlade α,15,1995,Shooter,Sony Computer Entertainment,0,0,0.15,0.01,0.16
8669,Kidou Senshi Gundam: Giren no Yabou - Axis no Kyoui,19,2008,Strategy,Namco Bandai Games,0,0,0.16,0,0.16
8670,Tiger Woods PGA Tour 2004,7,2003,Sports,Electronic Arts,0.12,0.03,0,0,0.16
8671,Monster House,4,2006,Adventure,THQ,0.14,0.01,0,0.01,0.16
8672,Angry Birds Star Wars,30,2013,Strategy,Activision,0.11,0.04,0,0.01,0.16
8673,Backyard Sports: Sandlot Sluggers,25,2010,Sports,Atari,0.15,0,0,0.01,0.16
8674,Guilty Gear Xrd: Sign,18,2014,Fighting,Arc System Works,0.1,0,0.04,0.02,0.16
8675,Arcade Zone,25,2009,Misc,Activision,0.14,0,0,0.01,0.16
8676,SpongeBob's Boating Bash,4,2010,Misc,THQ,0.14,0.01,0,0.01,0.16
8677,7th Dragon III Code: VFD,2,2015,Role-Playing,Sega,0.03,0,0.12,0,0.16
8678,DiRT 3,13,2011,Racing,Codemasters,0,0.13,0,0.03,0.16
8679,Culdcept,2,2012,Misc,Nintendo,0,0,0.16,0,0.16
8680,Birds of Steel,28,2012,Simulation,Konami Digital Entertainment,0.11,0.04,0,0.01,0.16
8681,Rudolph the Red-Nosed Reindeer,4,2010,Action,Crave Entertainment,0.15,0,0,0.01,0.16
8682,WWE '13,25,2012,Action,THQ,0.12,0.02,0,0.01,0.16
8683,MX 2002 Featuring Ricky Carmichael,6,2001,Racing,THQ,0.11,0.04,0,0,0.16
8684,Halo Triple Pack,29,2005,Shooter,Microsoft Game Studios,0.12,0.03,0,0.01,0.16
8685,Street Racer,15,1996,Racing,Ubisoft,0.09,0.06,0,0.01,0.16
8686,Bomberman,4,2005,Puzzle,Ubisoft,0.1,0.02,0.03,0.01,0.16
8687,NBA 2K3,7,2002,Sports,Sega,0.12,0.03,0,0,0.16
8688,Arcana Heart,16,2007,Fighting,AQ Interactive,0.06,0.05,0.04,0.02,0.16
8689,NHL 2005,29,2004,Sports,Electronic Arts,0.12,0.03,0,0.01,0.16
8690,World Soccer Winning Eleven 2010: Aoki Samurai no Chousen,19,2010,Sports,Konami Digital Entertainment,0,0,0.16,0,0.16
8691,Infected,19,2005,Shooter,THQ,0.14,0,0,0.01,0.16
8692,Battlestar Galactica,16,2003,Shooter,Vivendi Games,0.08,0.06,0,0.02,0.16
8693,The Walking Dead: Season One,30,2014,Adventure,Telltale Games,0.08,0.06,0,0.01,0.16
8694,Kingdom Hearts: Birth by Sleep - Final Mix,19,2011,Role-Playing,Square Enix,0,0,0.16,0,0.16
8695,Bust-A-Move Bash!,25,2007,Puzzle,505 Games,0.13,0.01,0,0.01,0.16
8696,Block Party,25,2008,Misc,Activision,0.14,0,0,0.01,0.16
8697,Toriko: Gourmet Monsters!,2,2012,Role-Playing,Namco Bandai Games,0,0,0.16,0,0.16
8698,The Incredible Hulk: The Pantheon Saga,15,1996,Action,Eidos Interactive,0.09,0.06,0,0.01,0.16
8699,Darksiders II,13,2012,Action,Nordic Games,0.03,0.1,0,0.03,0.16
8700,Megamind: Ultimate Showdown,17,2010,Action,THQ,0.07,0.06,0,0.02,0.16
8701,The Idolm@ster 2,17,2011,Misc,Namco Bandai Games,0,0,0.16,0,0.16
8702,Space Camp,4,2009,Action,Activision,0.14,0,0,0.01,0.16
8703,Imagine: Music Fest,4,2009,Simulation,Ubisoft,0.15,0,0,0.01,0.16
8704,AC/DC LIVE: Rock Band Track Pack,16,2008,Misc,MTV Games,0.08,0.06,0,0.02,0.16
8705,Senran Kagura: Sh?jo-tachi no Shinei,2,2011,Action,Marvelous Interactive,0,0,0.16,0,0.16
8706,Ultimate Spider-Man,4,2005,Action,Activision,0.14,0,0,0.01,0.16
8707,Fist of the North Star: Ken's Rage,28,2010,Action,Ubisoft Annecy,0.07,0.02,0.06,0.01,0.16
8708,Jurassic Park: The Game,28,,Action,Unknown,0.15,0,0,0.01,0.16
8709,He-Man: Power of Grayskull,6,2002,Action,TDK Mediactive,0.11,0.04,0,0,0.16
8710,WordJong,4,2007,Puzzle,White Park Bay Software,0.13,0.01,0,0.01,0.16
8711,Putty Squad,18,2013,Platform,System 3,0.06,0.07,0,0.02,0.16
8712,Polaris SnoCross,15,2000,Racing,Vatical Entertainment,0.09,0.06,0,0.01,0.16
8713,Wing Commander III: Heart of the Tiger,15,1996,Action,Electronic Arts,0.09,0.06,0,0.01,0.16
8714,Top Spin 4,25,2011,Sports,Take-Two Interactive,0.05,0.09,0,0.02,0.16
8715,Prince of Persia: The Forgotten Sands,4,2010,Action,Ubisoft,0.14,0.01,0,0.01,0.16
8716,Mat Hoffman's Pro BMX 2,6,2002,Sports,Activision,0.11,0.04,0,0,0.16
8717,Muppet RaceMania,15,1999,Racing,Sony Computer Entertainment,0.09,0.06,0,0.01,0.15
8718,Namco Museum Vol.5,15,1996,Misc,Sony Computer Entertainment,0.02,0.01,0.12,0.01,0.15
8719,Courier Crisis,15,1997,Racing,BMG Interactive Entertainment,0.09,0.06,0,0.01,0.15
8720,Bleach: Dark Souls,4,2007,Fighting,Sega,0.12,0.02,0,0.01,0.15
8721,The Oregon Trail,25,2011,Simulation,Crave Entertainment,0.15,0,0,0.01,0.15
8722,Digimon Battle Spirit 2,6,2003,Fighting,Namco Bandai Games,0.11,0.04,0,0,0.15
8723,Winning Post 3,15,1998,Racing,Tecmo Koei,0,0,0.14,0.01,0.15
8724,FIFA 06: Road to FIFA World Cup,28,2005,Sports,Electronic Arts,0.11,0.02,0.01,0.01,0.15
8725,Driven,16,2001,Racing,BAM! Entertainment,0.08,0.06,0,0.02,0.15
8726,F.E.A.R. 3,13,2011,Shooter,Warner Bros. Interactive Entertainment,0.04,0.08,0,0.03,0.15
8727,de Blob 2,28,2011,Platform,THQ,0.1,0.04,0,0.01,0.15
8728,"Warhammer 40,000: Fire Warrior",16,2003,Shooter,THQ,0.08,0.06,0,0.02,0.15
8729,Hot Wheels: Battle Force 5,4,2009,Racing,Activision,0.13,0.02,0,0.01,0.15
8730,James Noir's Hollywood Crimes,2,2011,Adventure,Ubisoft,0.07,0.07,0,0.02,0.15
8731,Deadly Premonition,17,2010,Action,Rising Star Games,0.08,0.05,0,0.02,0.15
8732,Bomberman,19,2006,Puzzle,Konami Digital Entertainment,0.14,0,0,0.01,0.15
8733,MTV Music Generator 2,16,2001,Misc,Codemasters,0.08,0.06,0,0.02,0.15
8734,The Quest Trio,4,2008,Puzzle,Avanquest,0.14,0.01,0,0.01,0.15
8735,Chaotic: Shadow Warriors,28,2009,Action,Activision,0.14,0,0,0.01,0.15
8736,Space Invaders Extreme,4,2008,Shooter,Square Enix,0.12,0.01,0.01,0.01,0.15
8737,Burnout 2: Point of Impact,7,2003,Racing,Acclaim Entertainment,0.12,0.03,0,0,0.15
8738,Paris-Dakar Rally,16,2001,Racing,Acclaim Entertainment,0.08,0.06,0,0.02,0.15
8739,All-Pro Football 2K8,17,2007,Sports,Take-Two Interactive,0.14,0,0,0.01,0.15
8740,Dragon Ball Z: Harukanaru Densetsu (JP sales),4,2007,Role-Playing,Namco Bandai Games,0,0,0.15,0,0.15
8741,Atelier Iris: Eternal Mana,16,2004,Role-Playing,Tecmo Koei,0.08,0.06,0,0.02,0.15
8742,Blinx 2: Masters of Time & Space,29,2004,Platform,Microsoft Game Studios,0.12,0.03,0,0.01,0.15
8743,Stormrise,28,2009,Strategy,Sega,0.11,0.03,0,0.01,0.15
8744,NHL 2K10,17,2009,Sports,Take-Two Interactive,0.13,0.01,0,0.01,0.15
8745,FIFA Street 2,19,2006,Sports,Electronic Arts,0.07,0.06,0,0.03,0.15
8746,Tak: The Great Juju Challenge,7,2005,Platform,THQ,0.12,0.03,0,0,0.15
8747,Deponia,13,2012,Adventure,Daedalic,0,0.13,0,0.03,0.15
8748,Harvest Moon: The Lost Valley,2,2014,Simulation,Natsume,0.12,0.02,0,0.01,0.15
8749,Knockout Kings 2003,7,2002,Sports,Electronic Arts,0.12,0.03,0,0,0.15
8750,NCAA Football 2004,7,2003,Sports,Electronic Arts,0.12,0.03,0,0,0.15
8751,XGIII: Extreme G Racing,7,2001,Racing,Acclaim Entertainment,0.12,0.03,0,0,0.15
8752,NHL 17,30,2016,Sports,Electronic Arts,0.13,0.01,0,0.02,0.15
8753,Jewel Quest Solitaire,4,2009,Puzzle,GSP,0,0.14,0,0.02,0.15
8754,Metal Gear Solid V: Ground Zeroes,28,2014,Action,Konami Digital Entertainment,0.07,0.06,0.01,0.01,0.15
8755,Digimon World 4,16,2005,Role-Playing,Atari,0.08,0.06,0,0.02,0.15
8756,Cars: Race-O-Rama,28,2009,Racing,THQ,0.14,0.01,0,0.01,0.15
8757,Disney's Story Studio: Disney's Mulan,15,1999,Misc,Sony Computer Entertainment,0.09,0.06,0,0.01,0.15
8758,Klax,31,1989,Puzzle,Atari,0.14,0.01,0,0,0.15
8759,Pressure Cooker,31,1982,Action,Activision,0.14,0.01,0,0,0.15
8760,Saturn Bomberman,21,1996,Puzzle,Sega,0,0,0.15,0,0.15
8761,Home Run,31,,Sports,Atari,0.14,0.01,0,0,0.15
8762,Jikkyou Powerful Pro Yakyuu Portable,19,2006,Sports,Konami Digital Entertainment,0,0,0.15,0,0.15
8763,The Adventures of Tintin: The Game,2,2011,Action,Ubisoft,0.05,0.09,0,0.02,0.15
8764,American Chopper,29,2004,Racing,Zoo Digital Publishing,0.11,0.03,0,0.01,0.15
8765,Sonny with a Chance,4,2010,Action,Disney Interactive Studios,0.12,0.02,0,0.01,0.15
8766,Murdered: Soul Suspect,17,2014,Action,Square Enix,0.05,0.06,0.02,0.02,0.15
8767,Farm Frenzy: Animal Country,4,2009,Simulation,City Interactive,0.13,0.01,0,0.01,0.15
8768,Kingdom Under Fire: Heroes,29,2005,Strategy,Deep Silver,0.11,0.03,0,0.01,0.15
8769,Wolfenstein: The Old Blood,30,2015,Action,Bethesda Softworks,0.07,0.07,0,0.01,0.15
8770,The Terminator: Dawn of Fate,29,2002,Action,Atari,0.11,0.03,0,0.01,0.15
8771,Cartoon Network Collection: Game Boy Advance Video Special Edition,6,2005,Misc,,0.11,0.04,0,0,0.15
8772,Naruto Shippuden: Legends: Akatsuki Rising,19,2009,Fighting,Namco Bandai Games,0.14,0,0,0.01,0.15
8773,Scooby-Doo! Unmasked,7,2005,Platform,THQ,0.12,0.03,0,0,0.15
8774,Streak: Hoverboard Racing,15,1998,Racing,GT Interactive,0.09,0.06,0,0.01,0.15
8775,Samurai Warriors: Katana,25,2007,Action,Tecmo Koei,0.11,0,0.04,0.01,0.15
8776,Project Sylpheed: Arc of Deception,28,2006,Shooter,Microsoft Game Studios,0.12,0.01,0.02,0.01,0.15
8777,Enthusia Professional Racing,16,2005,Racing,Konami Digital Entertainment,0.07,0.06,0,0.02,0.15
8778,NCAA GameBreaker 2001,16,2000,Sports,Sony Computer Entertainment,0.07,0.06,0,0.02,0.15
8779,Get On Da Mic,16,2004,Misc,Eidos Interactive,0.07,0.06,0,0.02,0.15
8780,Heroes of Mana,4,2007,Strategy,Square Enix,0.08,0.01,0.05,0.01,0.15
8781,Jurassic: The Hunted,25,2009,Shooter,Activision,0.14,0,0,0.01,0.15
8782,Army Men: Sarge's War,7,2004,Shooter,Global Star,0.12,0.03,0,0,0.15
8783,Horse Life Adventures,25,2008,Simulation,Deep Silver,0.13,0.01,0,0.01,0.15
8784,Amagami,19,2011,Adventure,Kadokawa Shoten,0,0,0.15,0,0.15
8785,Ice Age 2: The Meltdown,4,2006,Platform,Vivendi Games,0.13,0.01,0,0.01,0.15
8786,Jikkyou Powerful Pro Yakyuu 2009,16,2009,Sports,Konami Digital Entertainment,0,0,0.15,0,0.15
8787,Blazing Angels 2: Secret Missions of WWII,17,2007,Simulation,Ubisoft,0.1,0.03,0,0.02,0.15
